Chief Bender,"['/players/b/bendech01.shtml', '/collection/the-collection-online/search/412488?rpp=30&pg=1&ao=on&ft=Chief+Bender&what=Baseball+cards&pos=3']"
Rick Ferrell,"['/players/f/ferreri01.shtml', '/collection/the-collection-online/search/408184?rpp=30&pg=1&ao=on&ft=Rick+Ferrell&what=Baseball+cards&pos=2']"
Mickey Mantle,"['/players/m/mantlmi01.shtml', '/collection/the-collection-online/search/675571?rpp=30&pg=1&ao=on&ft=Mickey+Mantle&what=Baseball+cards&pos=5']"
Vic Willis,"['/players/w/willivi01.shtml', '/collection/the-collection-online/search/401638?rpp=30&pg=1&ao=on&ft=Vic+Willis&what=Baseball+cards&pos=1']"
Bill Terry,"['/players/t/terrybi01.shtml', '/collection/the-collection-online/search/407628?rpp=30&pg=1&ao=on&ft=Bill+Terry&what=Baseball+cards&pos=3']"
Heinie Manush,"['/players/m/manushe01.shtml', '/collection/the-collection-online/search/407689?rpp=30&pg=1&ao=on&ft=Heinie+Manush&what=Baseball+cards&pos=2']"
Dan Brouthers,"['/players/b/broutda01.shtml', '/collection/the-collection-online/search/404355?rpp=30&pg=1&ao=on&ft=Dan+Brouthers&what=Baseball+cards&pos=4']"
John Ward,"['/players/w/wardjo01.shtml', '/collection/the-collection-online/search/410133?rpp=30&pg=1&ao=on&ft=John+Ward&what=Baseball+cards&pos=10']"
Red Schoendienst,"['/players/s/schoere01.shtml', '/collection/the-collection-online/search/663508?rpp=30&pg=1&ao=on&ft=Red+Schoendienst&what=Baseball+cards&pos=6']"
Bob Lemon,"['/players/l/lemonbo01.shtml', '/collection/the-collection-online/search/663336?rpp=30&pg=1&ao=on&ft=Bob+Lemon&what=Baseball+cards&pos=5']"
Chuck Klein,"['/players/k/kleinch01.shtml', '/collection/the-collection-online/search/407764?rpp=30&pg=1&ao=on&ft=Chuck+Klein&what=Baseball+cards&pos=3']"
Bid McPhee,"['/players/m/mcphebi01.shtml', '/collection/the-collection-online/search/403157?rpp=30&pg=1&ao=on&ft=Bid+McPhee&what=Baseball+cards&pos=6']"
Whitey Ford,"['/players/f/fordwh01.shtml', '/collection/the-collection-online/search/412631?rpp=30&pg=1&ao=on&ft=Whitey+Ford&what=Baseball+cards&pos=5']"
Ray Brown,"['/nonmlbpa/brownra99.shtml', '/collection/the-collection-online/search/678299?rpp=30&pg=1&ao=on&ft=Ray+Brown&what=Baseball+cards&pos=7']"
Deacon White,"['/players/w/whitede01.shtml', []]"
Bob Feller,"['/players/f/fellebo01.shtml', '/collection/the-collection-online/search/670535?rpp=30&pg=1&ao=on&ft=Bob+Feller&what=Baseball+cards&pos=11']"
Satchel Paige,"['/players/p/paigesa01.shtml', '/collection/the-collection-online/search/402572?rpp=30&pg=1&ao=on&ft=Satchel+Paige&what=Baseball+cards&pos=2']"
Tris Speaker,"['/players/s/speaktr01.shtml', '/collection/the-collection-online/search/624882?rpp=30&pg=1&ao=on&ft=Tris+Speaker&what=Baseball+cards&pos=6']"
Ed Delahanty,"['/players/d/delahed01.shtml', '/collection/the-collection-online/search/412469?rpp=30&pg=1&ao=on&ft=Ed+Delahanty&what=Baseball+cards&pos=6']"
Willie Mays,"['/players/m/mayswi01.shtml', '/collection/the-collection-online/search/402573?rpp=30&pg=1&ao=on&ft=Willie+Mays&what=Baseball+cards&pos=4']"
Bill Dickey,"['/players/d/dickebi01.shtml', '/collection/the-collection-online/search/667944?rpp=30&pg=1&ao=on&ft=Bill+Dickey&what=Baseball+cards&pos=2']"
Lou Gehrig,"['/players/g/gehrilo01.shtml', '/collection/the-collection-online/search/677512?rpp=30&pg=1&ao=on&ft=Lou+Gehrig&what=Baseball+cards&pos=7']"
Pee Wee Reese,"['/players/r/reesepe01.shtml', '/collection/the-collection-online/search/669939?rpp=30&pg=1&ao=on&ft=Pee+Wee+Reese&what=Baseball+cards&pos=2']"
Dizzy Dean,"['/players/d/deandi01.shtml', '/collection/the-collection-online/search/408224?rpp=30&pg=1&ao=on&ft=Dizzy+Dean&what=Baseball+cards&pos=2']"
Joe Cronin,"['/players/c/cronijo01.shtml', '/collection/the-collection-online/search/417257?rpp=30&pg=1&ao=on&ft=Joe+Cronin&what=Baseball+cards&pos=4']"
Johnny Evers,"['/players/e/eversjo01.shtml', '/collection/the-collection-online/search/418311?rpp=30&pg=1&ao=on&ft=Johnny+Evers&what=Baseball+cards&pos=1']"
Rabbit Maranville,"['/players/m/maranra01.shtml', '/collection/the-collection-online/search/409643?rpp=30&pg=1&ao=on&ft=Rabbit+Maranville&what=Baseball+cards&pos=2']"
Ned Hanlon,"['/players/h/hanlone01.shtml', '/collection/the-collection-online/search/404127?rpp=30&pg=1&ao=on&ft=Ned+Hanlon&what=Baseball+cards&pos=5']"
Jackie Robinson,"['/players/r/robinja02.shtml', '/collection/the-collection-online/search/641152?rpp=30&pg=1&ao=on&ft=Jackie+Robinson&what=Baseball+cards&pos=5']"
Hank O'Day,"[""/players/o/o'dayha01.shtml"", '/collection/the-collection-online/search/403093?rpp=30&pg=1&ao=on&ft=Hank+O%27Day&what=Baseball+cards&pos=4']"
Ralph Kiner,"['/players/k/kinerra01.shtml', '/collection/the-collection-online/search/641584?rpp=30&pg=1&ao=on&ft=Ralph+Kiner&what=Baseball+cards&pos=6']"
Yogi Berra,"['/players/b/berrayo01.shtml', '/collection/the-collection-online/search/671475?rpp=30&pg=1&ao=on&ft=Yogi+Berra&what=Baseball+cards&pos=7']"
Earle Combs,"['/players/c/combsea01.shtml', '/collection/the-collection-online/search/407746?rpp=30&pg=1&ao=on&ft=Earle+Combs&what=Baseball+cards&pos=1']"
Mel Ott,"['/players/o/ottme01.shtml', '/collection/the-collection-online/search/412618?rpp=30&pg=1&ao=on&ft=Mel+Ott&what=Baseball+cards&pos=1']"
Lou Boudreau,"['/players/b/boudrlo01.shtml', '/collection/the-collection-online/search/665690?rpp=30&pg=1&ao=on&ft=Lou+Boudreau&what=Baseball+cards&pos=6']"
Amos Rusie,"['/players/r/rusieam01.shtml', '/collection/the-collection-online/search/402069?rpp=30&pg=1&ao=on&ft=Amos+Rusie&what=Baseball+cards&pos=4']"
Chick Hafey,"['/players/h/hafeych01.shtml', '/collection/the-collection-online/search/408280?rpp=30&pg=1&ao=on&ft=Chick+Hafey&what=Baseball+cards&pos=1']"
Kid Nichols,"['/players/n/nichoki01.shtml', []]"
Waite Hoyt,"['/players/h/hoytwa01.shtml', '/collection/the-collection-online/search/428994?rpp=30&pg=1&ao=on&ft=Waite+Hoyt&what=Baseball+cards&pos=2']"
Joe McCarthy,"['/managers/mccarjo99.shtml', '/collection/the-collection-online/search/666439?rpp=30&pg=1&ao=on&ft=Joe+McCarthy&what=Baseball+cards&pos=1']"
Buck Ewing,"['/players/e/ewingbu01.shtml', '/collection/the-collection-online/search/402276?rpp=30&pg=1&ao=on&ft=Buck+Ewing&what=Baseball+cards&pos=11']"
Billy Williams,"['/players/w/willibi01.shtml', '/collection/the-collection-online/search/403043?rpp=30&pg=1&ao=on&ft=Billy+Williams&what=Baseball+cards&pos=27']"
Red Faber,"['/players/f/faberre01.shtml', '/collection/the-collection-online/search/407725?rpp=30&pg=1&ao=on&ft=Red+Faber&what=Baseball+cards&pos=1']"
Max Carey,"['/players/c/careyma01.shtml', '/collection/the-collection-online/search/628852?rpp=30&pg=1&ao=on&ft=Max+Carey&what=Baseball+cards&pos=1']"
Sam Thompson,"['/players/t/thompsa01.shtml', []]"
Mickey Welch,"['/players/w/welchmi01.shtml', '/collection/the-collection-online/search/402418?rpp=30&pg=1&ao=on&ft=Mickey+Welch&what=Baseball+cards&pos=3']"
Jim Bottomley,"['/players/b/bottoji01.shtml', '/collection/the-collection-online/search/407686?rpp=30&pg=1&ao=on&ft=Jim+Bottomley&what=Baseball+cards&pos=1']"
Joe Tinker,"['/players/t/tinkejo01.shtml', '/collection/the-collection-online/search/434498?rpp=30&pg=1&ao=on&ft=Joe+Tinker&what=Baseball+cards&pos=2']"
Ted Lyons,"['/players/l/lyonste01.shtml', '/collection/the-collection-online/search/407613?rpp=30&pg=1&ao=on&ft=Ted+Lyons&what=Baseball+cards&pos=1']"
Eppa Rixey,"['/players/r/rixeyep01.shtml', '/collection/the-collection-online/search/407717?rpp=30&pg=1&ao=on&ft=Eppa+Rixey&what=Baseball+cards&pos=1']"
Ed Walsh,"['/players/w/walshed01.shtml', '/collection/the-collection-online/search/403313?rpp=30&pg=1&ao=on&ft=Ed+Walsh&what=Baseball+cards&pos=1']"
Robin Roberts,"['/players/r/roberro01.shtml', '/collection/the-collection-online/search/663262?rpp=30&pg=1&ao=on&ft=Robin+Roberts&what=Baseball+cards&pos=5']"
Hack Wilson,"['/players/w/wilsoha01.shtml', '/collection/the-collection-online/search/408172?rpp=30&pg=1&ao=on&ft=Hack+Wilson&what=Baseball+cards&pos=1']"
Walter Johnson,"['/players/j/johnswa01.shtml', '/collection/the-collection-online/search/624904?rpp=30&pg=1&ao=on&ft=Walter+Johnson&what=Baseball+cards&pos=4']"
Al Kaline,"['/players/k/kalinal01.shtml', '/collection/the-collection-online/search/642768?rpp=30&pg=1&ao=on&ft=Al+Kaline&what=Baseball+cards&pos=2']"
Smokey Joe Williams,"['/nonmlbpa/willijo99.shtml', []]"
Eddie Collins,"['/players/c/collied01.shtml', '/collection/the-collection-online/search/407684?rpp=30&pg=1&ao=on&ft=Eddie+Collins&what=Baseball+cards&pos=2']"
Nellie Fox,"['/players/f/foxne01.shtml', '/collection/the-collection-online/search/671857?rpp=30&pg=1&ao=on&ft=Nellie+Fox&what=Baseball+cards&pos=1']"
Cap Anson,"['/players/a/ansonca01.shtml', '/collection/the-collection-online/search/410138?rpp=30&pg=1&ao=on&ft=Cap+Anson&what=Baseball+cards&pos=2']"
Miller Huggins,"['/players/h/huggimi01.shtml', '/collection/the-collection-online/search/428994?rpp=30&pg=1&ao=on&ft=Miller+Huggins&what=Baseball+cards&pos=3']"
Stan Musial,"['/players/m/musiast01.shtml', '/collection/the-collection-online/search/677527?rpp=30&pg=1&ao=on&ft=Stan+Musial&what=Baseball+cards&pos=3']"
Clark Griffith,"['/players/g/griffcl01.shtml', '/collection/the-collection-online/search/403619?rpp=30&pg=1&ao=on&ft=Clark+Griffith&what=Baseball+cards&pos=6']"
Willie Keeler,"['/players/k/keelewi01.shtml', '/collection/the-collection-online/search/677640?rpp=30&pg=1&ao=on&ft=Willie+Keeler&what=Baseball+cards&pos=2']"
King Kelly,"['/players/k/kellyki01.shtml', '/collection/the-collection-online/search/410134?rpp=30&pg=1&ao=on&ft=King+Kelly&what=Baseball+cards&pos=2']"
Jimmie Foxx,"['/players/f/foxxji01.shtml', '/collection/the-collection-online/search/407631?rpp=30&pg=1&ao=on&ft=Jimmie+Foxx&what=Baseball+cards&pos=9']"
Ty Cobb,"['/players/c/cobbty01.shtml', '/collection/the-collection-online/search/677639?rpp=30&pg=1&ao=on&ft=Ty+Cobb&what=Baseball+cards&pos=9']"
Dazzy Vance,"['/players/v/vanceda01.shtml', '/collection/the-collection-online/search/407608?rpp=30&pg=1&ao=on&ft=Dazzy+Vance&what=Baseball+cards&pos=1']"
Kiki Cuyler,"['/players/c/cuyleki01.shtml', '/collection/the-collection-online/search/407664?rpp=30&pg=1&ao=on&ft=Kiki+Cuyler&what=Baseball+cards&pos=3']"
Paul Waner,"['/players/w/wanerpa01.shtml', '/collection/the-collection-online/search/407666?rpp=30&pg=1&ao=on&ft=Paul+Waner&what=Baseball+cards&pos=4']"
Bobby Wallace,"['/players/w/wallabo01.shtml', '/collection/the-collection-online/search/401767?rpp=30&pg=1&ao=on&ft=Bobby+Wallace&what=Baseball+cards&pos=1']"
Frank Chance,"['/players/c/chancfr01.shtml', '/collection/the-collection-online/search/434440?rpp=30&pg=1&ao=on&ft=Frank+Chance&what=Baseball+cards&pos=4']"
Ernie Lombardi,"['/players/l/lombaer01.shtml', '/collection/the-collection-online/search/408281?rpp=30&pg=1&ao=on&ft=Ernie+Lombardi&what=Baseball+cards&pos=3']"
Sam Rice,"['/players/r/ricesa01.shtml', '/collection/the-collection-online/search/407770?rpp=30&pg=1&ao=on&ft=Sam+Rice&what=Baseball+cards&pos=1']"
Travis Jackson,"['/players/j/jackstr01.shtml', '/collection/the-collection-online/search/407745?rpp=30&pg=1&ao=on&ft=Travis+Jackson&what=Baseball+cards&pos=1']"
Jesse Burkett,"['/players/b/burkeje01.shtml', '/collection/the-collection-online/search/629137?rpp=30&pg=1&ao=on&ft=Jesse+Burkett&what=Baseball+cards&pos=2']"
Joe DiMaggio,"['/players/d/dimagjo01.shtml', '/collection/the-collection-online/search/677647?rpp=30&pg=1&ao=on&ft=Joe+DiMaggio&what=Baseball+cards&pos=7']"
Dick Williams,"['/managers/willidi02.shtml', '/collection/the-collection-online/search/641442?rpp=30&pg=1&ao=on&ft=Dick+Williams&what=Baseball+cards&pos=1']"
Roger Bresnahan,"['/players/b/bresnro01.shtml', '/collection/the-collection-online/search/624652?rpp=30&pg=1&ao=on&ft=Roger+Bresnahan&what=Baseball+cards&pos=6']"
Enos Slaughter,"['/players/s/slaugen01.shtml', '/collection/the-collection-online/search/634645?rpp=30&pg=1&ao=on&ft=Enos+Slaughter&what=Baseball+cards&pos=9']"
Early Wynn,"['/players/w/wynnea01.shtml', '/collection/the-collection-online/search/633934?rpp=30&pg=1&ao=on&ft=Early+Wynn&what=Baseball+cards&pos=8']"
Hal Newhouser,"['/players/n/newhoha01.shtml', '/collection/the-collection-online/search/641706?rpp=30&pg=1&ao=on&ft=Hal+Newhouser&what=Baseball+cards&pos=1']"
Joe Sewell,"['/players/s/seweljo01.shtml', '/collection/the-collection-online/search/408144?rpp=30&pg=1&ao=on&ft=Joe+Sewell&what=Baseball+cards&pos=1']"
Charlie Gehringer,"['/players/g/gehrich01.shtml', []]"
Joe Gordon,"['/players/g/gordojo01.shtml', '/collection/the-collection-online/search/667780?rpp=30&pg=1&ao=on&ft=Joe+Gordon&what=Baseball+cards&pos=2']"
Mordecai Brown,"['/players/b/brownmo01.shtml', '/collection/the-collection-online/search/434439?rpp=30&pg=1&ao=on&ft=Mordecai+Brown&what=Baseball+cards&pos=3']"
Sandy Koufax,"['/players/k/koufasa01.shtml', '/collection/the-collection-online/search/412727?rpp=30&pg=1&ao=on&ft=Sandy+Koufax&what=Baseball+cards&pos=1']"
Billy Southworth,"['/players/s/southbi01.shtml', '/collection/the-collection-online/search/667766?rpp=30&pg=1&ao=on&ft=Billy+Southworth&what=Baseball+cards&pos=1']"
George Davis,"['/players/d/davisge01.shtml', '/collection/the-collection-online/search/408214?rpp=30&pg=1&ao=on&ft=George+Davis&what=Baseball+cards&pos=1']"
Hoyt Wilhelm,"['/players/w/wilheho01.shtml', '/collection/the-collection-online/search/641500?rpp=30&pg=1&ao=on&ft=Hoyt+Wilhelm&what=Baseball+cards&pos=3']"
Casey Stengel,"['/managers/stengca01.shtml', '/collection/the-collection-online/search/664595?rpp=30&pg=1&ao=on&ft=Casey+Stengel&what=Baseball+cards&pos=3']"
Monte Irvin,"['/players/i/irvinmo01.shtml', '/collection/the-collection-online/search/666437?rpp=30&pg=1&ao=on&ft=Monte+Irvin&what=Baseball+cards&pos=4']"
Bobby Doerr,"['/players/d/doerrbo01.shtml', '/collection/the-collection-online/search/634652?rpp=30&pg=1&ao=on&ft=Bobby+Doerr&what=Baseball+cards&pos=5']"
Sam Crawford,"['/players/c/crawfsa01.shtml', '/collection/the-collection-online/search/401566?rpp=30&pg=1&ao=on&ft=Sam+Crawford&what=Baseball+cards&pos=1']"
Fred Clarke,"['/players/c/clarkfr01.shtml', '/collection/the-collection-online/search/624673?rpp=30&pg=1&ao=on&ft=Fred+Clarke&what=Baseball+cards&pos=4']"
Herb Pennock,"['/players/p/pennohe01.shtml', '/collection/the-collection-online/search/407774?rpp=30&pg=1&ao=on&ft=Herb+Pennock&what=Baseball+cards&pos=1']"
Hank Greenberg,"['/players/g/greenha01.shtml', '/collection/the-collection-online/search/412619?rpp=30&pg=1&ao=on&ft=Hank+Greenberg&what=Baseball+cards&pos=5']"
George Sisler,"['/players/s/sislege01.shtml', '/collection/the-collection-online/search/664736?rpp=30&pg=1&ao=on&ft=George+Sisler&what=Baseball+cards&pos=2']"
Earl Averill,"['/players/a/averiea01.shtml', '/collection/the-collection-online/search/408181?rpp=30&pg=1&ao=on&ft=Earl+Averill&what=Baseball+cards&pos=1']"
Al Simmons,"['/players/s/simmoal01.shtml', '/collection/the-collection-online/search/407677?rpp=30&pg=1&ao=on&ft=Al+Simmons&what=Baseball+cards&pos=5']"
Gabby Hartnett,"['/players/h/hartnga01.shtml', '/collection/the-collection-online/search/408189?rpp=30&pg=1&ao=on&ft=Gabby+Hartnett&what=Baseball+cards&pos=1']"
Babe Ruth,"['/players/r/ruthba01.shtml', '/collection/the-collection-online/search/412620?rpp=30&pg=1&ao=on&ft=Babe+Ruth&what=Baseball+cards&pos=6']"
Lloyd Waner,"['/players/w/wanerll01.shtml', '/collection/the-collection-online/search/408143?rpp=30&pg=1&ao=on&ft=Lloyd+Waner&what=Baseball+cards&pos=1']"
Frankie Frisch,"['/players/f/friscfr01.shtml', []]"
Home Run Baker,"['/players/b/bakerfr01.shtml', '/collection/the-collection-online/search/671426?rpp=30&pg=1&ao=on&ft=Home+Run+Baker&what=Baseball+cards&pos=30']"
Ted Williams,"['/players/w/willite01.shtml', '/collection/the-collection-online/search/417257?rpp=30&pg=1&ao=on&ft=Ted+Williams&what=Baseball+cards&pos=5']"
Hugh Duffy,"['/players/d/duffyhu01.shtml', '/collection/the-collection-online/search/401714?rpp=30&pg=1&ao=on&ft=Hugh+Duffy&what=Baseball+cards&pos=6']"
Bucky Harris,"['/managers/harribu01.shtml', '/collection/the-collection-online/search/670225?rpp=30&pg=1&ao=on&ft=Bucky+Harris&what=Baseball+cards&pos=4']"
Billy Hamilton,"['/players/h/hamilbi01.shtml', '/collection/the-collection-online/search/403491?rpp=30&pg=1&ao=on&ft=Billy+Hamilton&what=Baseball+cards&pos=5']"
Richie Ashburn,"['/players/a/ashburi01.shtml', '/collection/the-collection-online/search/634535?rpp=30&pg=1&ao=on&ft=Richie+Ashburn&what=Baseball+cards&pos=10']"
Leo Durocher,"['/managers/durocle01.shtml', '/collection/the-collection-online/search/664598?rpp=30&pg=1&ao=on&ft=Leo+Durocher&what=Baseball+cards&pos=6']"
Tommy McCarthy,"['/players/m/mccarto01.shtml', '/collection/the-collection-online/search/402629?rpp=30&pg=1&ao=on&ft=Tommy+McCarthy&what=Baseball+cards&pos=10']"
Tim Keefe,"['/players/k/keefeti01.shtml', '/collection/the-collection-online/search/402344?rpp=30&pg=1&ao=on&ft=Tim+Keefe&what=Baseball+cards&pos=12']"
John McGraw,"['/managers/mcgrajo01.shtml', '/collection/the-collection-online/search/408225?rpp=30&pg=1&ao=on&ft=John+McGraw&what=Baseball+cards&pos=4']"
Harry Wright,"['/managers/wrighha01.shtml', '/collection/the-collection-online/search/402663?rpp=30&pg=1&ao=on&ft=Harry+Wright&what=Baseball+cards&pos=3']"
Duke Snider,"['/players/s/snidedu01.shtml', '/collection/the-collection-online/search/634494?rpp=30&pg=1&ao=on&ft=Duke+Snider&what=Baseball+cards&pos=6']"
Pie Traynor,"['/players/t/traynpi01.shtml', '/collection/the-collection-online/search/407630?rpp=30&pg=1&ao=on&ft=Pie+Traynor&what=Baseball+cards&pos=2']"
Carl Hubbell,"['/players/h/hubbeca01.shtml', '/collection/the-collection-online/search/412613?rpp=30&pg=1&ao=on&ft=Carl+Hubbell&what=Baseball+cards&pos=9']"
Al Lopez,"['/players/l/lopezal01.shtml', '/collection/the-collection-online/search/676957?rpp=30&pg=1&ao=on&ft=Al+Lopez&what=Baseball+cards&pos=4']"
Phil Rizzuto,"['/players/r/rizzuph01.shtml', '/collection/the-collection-online/search/633922?rpp=30&pg=1&ao=on&ft=Phil+Rizzuto&what=Baseball+cards&pos=7']"
Connie Mack,"['/managers/mackco01.shtml', '/collection/the-collection-online/search/663211?rpp=30&pg=1&ao=on&ft=Connie+Mack&what=Baseball+cards&pos=7']"
Roy Campanella,"['/players/c/camparo01.shtml', '/collection/the-collection-online/search/666083?rpp=30&pg=1&ao=on&ft=Roy+Campanella&what=Baseball+cards&pos=6']"
Harry Hooper,"['/players/h/hoopeha01.shtml', '/collection/the-collection-online/search/626969?rpp=30&pg=1&ao=on&ft=Harry+Hooper&what=Baseball+cards&pos=1']"
Pud Galvin,"['/players/g/galvipu01.shtml', '/collection/the-collection-online/search/402759?rpp=30&pg=1&ao=on&ft=Pud+Galvin&what=Baseball+cards&pos=7']"
Larry Doby,"['/players/d/dobyla01.shtml', '/collection/the-collection-online/search/663269?rpp=30&pg=1&ao=on&ft=Larry+Doby&what=Baseball+cards&pos=6']"
Johnny Mize,"['/players/m/mizejo01.shtml', '/collection/the-collection-online/search/634713?rpp=30&pg=1&ao=on&ft=Johnny+Mize&what=Baseball+cards&pos=4']"
George Kell,"['/players/k/kellge01.shtml', '/collection/the-collection-online/search/671439?rpp=30&pg=1&ao=on&ft=George+Kell&what=Baseball+cards&pos=9']"
Old Hoss Radbourn,"['/players/r/radboch01.shtml', '/collection/the-collection-online/search/401447?rpp=30&pg=1&ao=on&ft=Old+Hoss+Radbourn&what=Baseball+cards&pos=5']"
Rube Waddell,"['/players/w/wadderu01.shtml', '/collection/the-collection-online/search/401637?rpp=30&pg=1&ao=on&ft=Rube+Waddell&what=Baseball+cards&pos=1']"
Cy Young,"['/players/y/youngcy01.shtml', '/collection/the-collection-online/search/401649?rpp=30&pg=1&ao=on&ft=Cy+Young&what=Baseball+cards&pos=1']"
Lefty Grove,"['/players/g/grovele01.shtml', '/collection/the-collection-online/search/409638?rpp=30&pg=1&ao=on&ft=Lefty+Grove&what=Baseball+cards&pos=5']"
Red Ruffing,"['/players/r/ruffire01.shtml', []]"
Honus Wagner,"['/players/w/wagneho01.shtml', '/collection/the-collection-online/search/413556?rpp=30&pg=1&ao=on&ft=Honus+Wagner&what=Baseball+cards&pos=1']"
John Clarkson,"['/players/c/clarkjo01.shtml', '/collection/the-collection-online/search/410135?rpp=30&pg=1&ao=on&ft=John+Clarkson&what=Baseball+cards&pos=1']"
Joe Medwick,"['/players/m/medwijo01.shtml', []]"
Warren Spahn,"['/players/s/spahnwa01.shtml', '/collection/the-collection-online/search/634000?rpp=30&pg=1&ao=on&ft=Warren+Spahn&what=Baseball+cards&pos=5']"
Tony Lazzeri,"['/players/l/lazzeto01.shtml', '/collection/the-collection-online/search/407673?rpp=30&pg=1&ao=on&ft=Tony+Lazzeri&what=Baseball+cards&pos=1']"
Branch Rickey,"['/managers/rickebr01.shtml', '/collection/the-collection-online/search/671853?rpp=30&pg=1&ao=on&ft=Branch+Rickey&what=Baseball+cards&pos=1']"
Luke Appling,"['/players/a/applilu01.shtml', '/collection/the-collection-online/search/663267?rpp=30&pg=1&ao=on&ft=Luke+Appling&what=Baseball+cards&pos=2']"
Roger Connor,"['/players/c/connoro01.shtml', '/collection/the-collection-online/search/402236?rpp=30&pg=1&ao=on&ft=Roger+Connor&what=Baseball+cards&pos=4']"
Rogers Hornsby,"['/players/h/hornsro01.shtml', '/collection/the-collection-online/search/677654?rpp=30&pg=1&ao=on&ft=Rogers+Hornsby&what=Baseball+cards&pos=3']"
Burleigh Grimes,"['/players/g/grimebu01.shtml', '/collection/the-collection-online/search/407707?rpp=30&pg=1&ao=on&ft=Burleigh+Grimes&what=Baseball+cards&pos=1']"
Rube Marquard,"['/players/m/marquru01.shtml', '/collection/the-collection-online/search/412498?rpp=30&pg=1&ao=on&ft=Rube+Marquard&what=Baseball+cards&pos=1']"
Mickey Cochrane,"['/players/c/cochrmi01.shtml', '/collection/the-collection-online/search/407719?rpp=30&pg=1&ao=on&ft=Mickey+Cochrane&what=Baseball+cards&pos=4']"
Sol White,"['/nonmlbpa/whiteso99.shtml', '/collection/the-collection-online/search/667882?rpp=30&pg=1&ao=on&ft=Sol+White&what=Baseball+cards&pos=1']"
